/nmos/D (vds_n=0) X,/nmos/D (vds_n=0) Y,/nmos/D (vds_n=0.2) X,/nmos/D (vds_n=0.2) Y,/nmos/D (vds_n=0.4) X,/nmos/D (vds_n=0.4) Y,/nmos/D (vds_n=0.8) X,/nmos/D (vds_n=0.8) Y,/nmos/D (vds_n=1) X,/nmos/D (vds_n=1) Y,/nmos/D (vds_n=0.6) X,/nmos/D (vds_n=0.6) Y
0,0,0,7.113803647096648e-09,0,1.32978114640386e-08,0,3.900918303613095e-08,0,6.381753642444223e-08,0,2.321522637565051e-08
0.01,-3.425040108752846e-13,0.01,9.046665845996805e-09,0.01,1.68434467072244e-08,0.01,4.910741579627919e-08,0.01,8.015917584029547e-08,0.01,2.930505684639342e-08
0.02,-4.292586525026412e-13,0.02,1.151425305160861e-08,0.02,2.136956901860961e-08,0.02,6.198737371144125e-08,0.02,1.009887790315006e-07,0.02,3.707634100836481e-08
0.03,-4.654123627860617e-13,0.03,1.466284714241365e-08,0.03,2.714368495533398e-08,0.03,7.840228712569946e-08,0.03,1.275153626087386e-07,0.03,4.698628315904937e-08
0.04,-8.990378765481905e-13,0.04,1.867846703939051e-08,0.04,3.450563359022261e-08,0.04,9.930649823631917e-08,0.04,1.612679799318407e-07,0.04,5.961501497610596e-08
0.05,-1.77836657780881e-12,0.05,2.379752293297061e-08,0.05,4.388683317802662e-08,0.05,1.259078482768177e-07,0.05,2.041778617541759e-07,0.05,7.569799674656407e-08
0.06,-3.024112956796892e-12,0.06,3.032026708693963e-08,0.06,5.583451501405213e-08,0.06,1.597331443087491e-07,0.06,2.586805236091139e-07,0.06,9.616667833544989e-08
0.07000000000000001,-4.618700801953302e-12,0.07000000000000001,3.862774961992295e-08,0.07000000000000001,7.104217928428164e-08,0.07000000000000001,2.027097273924333e-07,0.07000000000000001,3.278422132753151e-07,0.07000000000000001,1.2219940489247e-07
0.08,-6.562151847072585e-12,0.08,4.920315628801866e-08,0.08,9.038778909783222e-08,0.08,2.572667579765123e-07,0.08,4.155158238885572e-07,0.08,1.552849780752929e-07
0.09,-8.859419223999505e-12,0.09,6.265843926856188e-08,0.09,1.149812432256932e-07,0.09,3.264596287295732e-07,0.09,5.265307954839721e-07,0.09,1.973012484317441e-07
0.09999999999999999,-1.151738387006523e-11,0.09999999999999999,7.976118193206358e-08,0.09999999999999999,1.462117198754893e-07,0.09999999999999999,4.140898762150454e-07,0.09999999999999999,6.668715156594515e-07,0.09999999999999999,2.50592341934398e-07
0.11,-1.454399894314008e-11,0.11,1.014805345831017e-07,0.11,1.858290887014021e-07,0.11,5.249150559200896e-07,0.11,8.43994009617401e-07,0.11,3.181024586752508e-07
0.12,-1.794804248443546e-11,0.12,1.290403030475416e-07,0.12,2.360372083432922e-07,0.12,6.648833433634726e-07,0.12,1.0671734932912e-06,0.12,4.035275491026088e-07
0.13,-2.173909388438712e-11,0.13,1.639801460802705e-07,0.13,2.996004091035849e-07,0.13,8.413933490388088e-07,0.13,1.347880539030308e-06,0.13,5.114861910783522e-07
0.14,-2.592762631338143e-11,0.14,2.082337182548004e-07,0.14,3.799786420678034e-07,0.14,1.06361802939968e-06,0.14,1.7002438808567e-06,0.14,6.477347836070068e-07
0.15,-3.05251824759349e-11,0.15,2.642248468493583e-07,0.15,4.814923620364075e-07,0.15,1.342889399650785e-06,0.15,2.141588867983853e-06,0.15,8.194270699755126e-07
0.16,-3.554463056129075e-11,0.16,3.349854244355057e-07,0.16,6.095226204697699e-07,0.16,1.693151082708584e-06,0.16,2.693055540526401e-06,0.16,1.035424914375734e-06
0.17,-4.100051012727845e-11,0.17,4.242992829568259e-07,0.17,7.70752469447088e-07,0.17,2.131484810147875e-06,0.17,3.38029689716374e-06,0.17,1.306667509677981e-06
0.18,-4.690948487523901e-11,0.18,5.368769361613556e-07,0.18,9.734563304618399e-07,0.18,2.678715176091195e-06,0.18,4.234252807591687e-06,0.18,1.646606092473206e-06
0.19,-5.329092369994091e-11,0.19,6.785667166569707e-07,0.19,1.227844388910185e-06,0.19,3.360093905954259e-06,0.19,5.291987751087989e-06,0.19,2.071710605383912e-06
