/pmos/D (vsg_p=0) X,/pmos/D (vsg_p=0) Y,/pmos/D (vsg_p=0.2) X,/pmos/D (vsg_p=0.2) Y,/pmos/D (vsg_p=0.4) X,/pmos/D (vsg_p=0.4) Y,/pmos/D (vsg_p=0.8) X,/pmos/D (vsg_p=0.8) Y,/pmos/D (vsg_p=1) X,/pmos/D (vsg_p=1) Y,/pmos/D (vsg_p=0.6) X,/pmos/D (vsg_p=0.6) Y
0,-2.579831732656392e-20,0,1.12775921921868e-10,0,5.934290770743233e-10,0,3.573088946605336e-09,0,6.62591517332021e-09,0,1.66928903446109e-09
0.01,-7.580218620808694e-10,0.01,-7.10990759518666e-08,0.01,-2.582398770685798e-06,0.01,-2.675672606830075e-05,0.01,-3.679484759540224e-05,0.01,-1.40447879790184e-05
0.02,-1.372523098269222e-09,0.02,-1.287250277477079e-07,0.02,-4.860249735876642e-06,0.02,-5.277087677442623e-05,0.02,-7.286579408593754e-05,0.02,-2.743962816308779e-05
0.03,-1.853854678644556e-09,0.03,-1.737583392608322e-07,0.03,-6.840605715857938e-06,0.03,-7.804510850382505e-05,0.03,-0.0001082095241727965,0.03,-4.019112672320394e-05
0.04,-2.225235217615724e-09,0.04,-2.083253960083845e-07,0.04,-8.538381675332089e-06,0.04,-0.0001025857249820652,0.04,-0.00014282945456354,0.04,-5.23078607436975e-05
0.05,-2.517915009163553e-09,0.05,-2.352876150535273e-07,0.05,-9.977997038765993e-06,0.05,-0.0001263991047427021,0.05,-0.0001767290929803586,0.05,-6.379883628168863e-05
0.06,-2.761750638337087e-09,0.06,-2.574169516148456e-07,0.06,-1.119422829720733e-05,0.06,-0.0001494917113607896,0.06,-0.0002099120385866425,0.06,-7.467366022961273e-05
0.07000000000000001,-2.97885536513842e-09,0.07000000000000001,-2.768006680311397e-07,0.07000000000000001,-1.222994390223347e-05,0.07000000000000001,-0.0001718701066439882,0.07000000000000001,-0.0002423819829825668,0.07000000000000001,-8.494276755310277e-05
0.08,-3.183172988917391e-09,0.08,-2.947716285233184e-07,0.08,-1.313045428562104e-05,0.08,-0.0001935409674367374,0.08,-0.0002741427116016792,0.08,-9.461772056455928e-05
0.09,-3.382861655657073e-09,0.09,-3.121142349522334e-07,0.09,-1.393694384955133e-05,0.09,-0.0002145111069753957,0.09,-0.0003051981056558992,0.09,-0.0001037115988878419
