/pmos/D (vsd_p=0) X,/pmos/D (vsd_p=0) Y,/pmos/D (vsd_p=0.2) X,/pmos/D (vsd_p=0.2) Y,/pmos/D (vsd_p=0.4) X,/pmos/D (vsd_p=0.4) Y,/pmos/D (vsd_p=0.6) X,/pmos/D (vsd_p=0.6) Y,/pmos/D (vsd_p=0.8) X,/pmos/D (vsd_p=0.8) Y,/pmos/D (vsd_p=1) X,/pmos/D (vsd_p=1) Y
0,-2.579831732656392e-20,0,-5.907049243506215e-09,0,-1.362077226280426e-08,0,-2.77885945546451e-08,0,-5.275171947523531e-08,0,-9.582053070112781e-08
0.01,3.13761908337932e-13,0.01,-7.416068924590376e-09,0.01,-1.701487926737596e-08,0.01,-3.461854044458482e-08,0.01,-6.561748343097645e-08,0.01,-1.190654409453568e-07
0.02,6.14207582105279e-13,0.02,-9.321773863628848e-09,0.02,-2.129305765441948e-08,0.02,-4.32064866314018e-08,0.02,-8.174891421899568e-08,0.02,-1.4811455043917e-07
0.03,1.487088023891742e-12,0.03,-1.172530529518004e-08,0.03,-2.667785496531069e-08,0.03,-5.398804549300625e-08,0.03,-1.019398325951943e-07,0.03,-1.843462417959051e-07
0.04,2.983003226814448e-12,0.04,-1.4752960052485e-08,0.04,-3.344598355654128e-08,0.04,-6.750216104618514e-08,0.04,-1.271666697467624e-07,0.04,-2.294444891454092e-07
0.05,5.074696515585886e-12,0.05,-1.856219515010625e-08,0.05,-4.194080817477016e-08,0.05,-8.441396917703757e-08,0.05,-1.586269235381593e-07,0.05,-2.854595054968322e-07
0.06,7.759145083720926e-12,0.06,-2.33489751038687e-08,0.06,-5.258747117944241e-08,0.06,-1.055421680639226e-07,0.06,-1.977846026719507e-07,0.06,-3.548783561528429e-07
0.07000000000000001,1.104093873286954e-11,0.07000000000000001,-2.935673107966189e-08,0.07000000000000001,-6.591113459501364e-08,0.07000000000000001,-1.318916254207659e-07,0.07000000000000001,-2.464236280853709e-07,0.07000000000000001,-4.40706675856761e-07
0.08,1.492726298463339e-11,0.08,-3.688724502970985e-08,0.08,-8.255888327335399e-08,0.08,-1.646920267241892e-07,0.08,-3.067102351262837e-07,0.08,-5.465626740471527e-07
0.09,1.942651882217801e-11,0.09,-4.631382062805809e-08,0.09,-1.033259029225924e-07,0.09,-2.054434493165096e-07,0.09,-3.812654964268027e-07,0.09,-6.767846546020578e-07
0.09999999999999999,2.454791484392007e-11,0.09999999999999999,-5.809715610899835e-08,0.09999999999999999,-1.291866209791085e-07,0.09999999999999999,-2.559698330126495e-07,0.09999999999999999,-4.732491662703305e-07,0.09999999999999999,-8.365533052429171e-07
0.11,3.03013872413934e-11,0.11,-7.280439223546698e-08,0.11,-1.613315783965945e-07,0.11,-3.184814114861653e-07,0.11,-5.864561326345658e-07,0.11,-1.03203000300889e-06
0.12,3.669766870688163e-11,0.12,-9.113187209304221e-08,0.12,-2.01210888552972e-07,0.12,-3.956472734172087e-07,0.12,-7.254268457729329e-07,0.12,-1.270512284754494e-06
0.13,4.374845404707479e-11,0.13,-1.139322192960905e-07,0.13,-2.505852388368385e-07,0.13,-4.906793393717272e-07,0.13,-8.955731500625546e-07,0.13,-1.560607355658993e-06
0.14,5.146665172315464e-11,0.14,-1.422464193910995e-07,0.14,-3.115855047830036e-07,0.14,-6.074291647193305e-07,0.14,-1.103320931537345e-06,0.14,-1.912423917244607e-06
0.15,5.986672637668384e-11,0.15,-1.773416785767521e-07,0.15,-3.867821785082986e-07,0.15,-7.504990927062931e-07,0.15,-1.356270822927973e-06,0.15,-2.337781506688102e-06
0.16,6.896514337102689e-11,0.16,-2.207559379123856e-07,0.16,-4.79265960948024e-07,0.16,-9.253693448283842e-07,0.16,-1.663377751281275e-06,0.16,-2.85043474312512e-06
0.17,7.878092618760674e-11,0.17,-2.743500434329169e-07,0.17,-5.92741019506629e-07,0.17,-1.138542574348278e-06,0.17,-2.035149194335134e-06,0.17,-3.46630718726716e-06
0.18,8.933633058561101e-11,0.18,-3.403687143820309e-07,0.18,-7.316325399842557e-07,0.18,-1.397707106828443e-06,0.18,-2.483860424904855e-06,0.18,-4.203725847870627e-06
0.19,1.006576230858996e-10,0.19,-4.215116084412051e-07,0.19,-9.012102472405378e-07,0.19,-1.711919386860333e-06,0.19,-3.023782572489782e-06,0.19,-5.083642815171307e-06
0.2,1.12775921921868e-10,0.2,-5.210159358398894e-07,0.2,-1.107729438905413e-06,0.2,-2.091804845935669e-06,0.2,-3.671415902363915e-06,0.2,-6.129825455949009e-06
0.21,1.257280131748447e-10,0.21,-6.427521633693968e-07,0.21,-1.358590633336498e-06,0.21,-2.549774303337467e-06,0.21,-4.445716358674943e-06,0.21,-7.368991794219135e-06
0.2200000000000001,1.395569944220428e-10,0.2200000000000001,-7.913342425356372e-07,0.2200000000000001,-1.662518000771426e-06,0.2200000000000001,-3.100249966765534e-06,0.2200000000000001,-5.368298456329828e-06,0.2200000000000001,-8.8308641593602e-06
0.2300000000000001,1.543125330641727e-10,0.2300000000000001,-9.722464750107435e-07,0.2300000000000001,-2.029755131206812e-06,0.2300000000000001,-3.75989110676892e-06,0.2300000000000001,-6.463592677380831e-06,0.2300000000000001,-1.054811310448673e-05
0.2400000000000001,1.700504814620724e-10,0.2400000000000001,-1.191987986758405e-06,0.2400000000000001,-2.472274226108601e-06,0.2400000000000001,-4.547804761800251e-06,0.2400000000000001,-7.758931584491544e-06,0.2400000000000001,-1.255616607876955e-05
0.2500000000000001,1.868316065688302e-10,0.2500000000000001,-1.458233094215778e-06,0.2500000000000001,-3.0039914097462e-06,0.2500000000000001,-5.485721910362785e-06,0.2500000000000001,-9.284537055429819e-06,0.2500000000000001,-1.489286205255715e-05
0.2600000000000001,2.047193117695356e-10,0.2600000000000001,-1.780007316241193e-06,0.2600000000000001,-3.640976642914393e-06,0.2600000000000001,-6.598115256145893e-06,0.2600000000000001,-1.107338248309115e-05,0.2600000000000001,-1.759794419707798e-05
0.2700000000000001,2.237764697669001e-10,0.2700000000000001,-2.167874558583103e-06,0.2700000000000001,-4.401642044711044e-06,0.2700000000000001,-7.912232175293783e-06,0.2700000000000001,-1.316090925116461e-05,0.2700000000000001,-2.07123968798528e-05
